100 9900
0 1 51.033847
0 2 93.738740
0 3 35.838869
0 4 90.188706
0 5 34.368310
0 6 19.164394
0 7 0.806242
0 8 16.939300
0 9 89.863036
0 10 31.545174
0 11 23.306074
0 12 26.901442
0 13 74.423577
0 14 25.631692
0 15 75.245399
0 16 96.004507
0 17 87.186296
0 18 6.702831
0 19 56.473752
0 20 29.264867
0 21 86.136884
0 22 22.695421
0 23 14.141279
0 24 93.876357
0 25 67.945018
0 26 67.277848
0 27 27.624333
0 28 89.670763
0 29 38.886810
0 30 31.959036
0 31 72.681272
0 32 68.096364
0 33 86.465076
0 34 17.843720
0 35 43.051994
0 36 38.694703
0 37 33.700673
0 38 65.789575
0 39 12.890449
0 40 95.512644
0 41 21.056450
0 42 27.491132
0 43 69.220215
0 44 54.968947
0 45 14.568642
0 46 79.410130
0 47 30.028988
0 48 21.401493
0 49 82.998839
0 50 76.491328
0 51 90.668587
0 52 86.853457
0 53 21.682878
0 54 53.247416
0 55 8.902915
0 56 27.613614
0 57 26.241385
0 58 6.066186
0 59 47.247033
0 60 81.608130
0 61 35.429872
0 62 32.487613
0 63 40.166325
0 64 77.948129
0 65 69.144649
0 66 60.718099
0 67 43.255532
0 68 42.769372
0 69 84.964071
0 70 75.793580
0 71 51.693143
0 72 23.957496
0 73 64.592913
0 74 37.572802
0 75 46.067492
0 76 61.434138
0 77 20.190932
0 78 90.136565
0 79 35.096633
0 80 79.386473
0 81 79.805013
0 82 82.188253
0 83 16.814887
0 84 92.154582
0 85 70.987515
0 86 53.695553
0 87 72.474704
0 88 96.448214
0 89 72.171742
0 90 95.282717
0 91 40.713287
0 92 69.146417
0 93 42.488762
0 94 53.777354
0 95 93.459194
0 96 2.140678
0 97 72.448020
0 98 39.835151
0 99 49.604915
1 0 83.514118
1 2 20.267568
1 3 91.710575
1 4 17.647217
1 5 77.806420
1 6 11.627903
1 7 63.011036
1 8 54.297821
1 9 67.196111
1 10 84.236781
1 11 31.666593
1 12 62.492729
1 13 90.138940
1 14 52.830598
1 15 72.366778
1 16 29.279365
1 17 54.333039
1 18 55.101244
1 19 95.360659
1 20 21.736412
1 21 6.838664
1 22 14.525576
1 23 30.785789
1 24 17.382047
1 25 15.762262
1 26 22.188011
1 27 29.586236
1 28 44.452025
1 29 55.121732
1 30 96.424921
1 31 59.599381
1 32 46.979889
1 33 87.341697
1 34 26.482878
1 35 98.535742
1 36 69.787323
1 37 6.284681
1 38 44.371049
1 39 64.345612
1 40 79.293444
1 41 37.806127
1 42 97.701305
1 43 77.860774
1 44 97.477685
1 45 94.528160
1 46 15.547909
1 47 22.619189
1 48 28.381569
1 49 46.859115
1 50 69.221928
1 51 52.424964
1 52 99.210588
1 53 3.242810
1 54 30.343792
1 55 98.465554
1 56 21.398105
1 57 89.203625
1 58 19.710705
1 59 44.702591
1 60 0.919003
1 61 76.960429
1 62 22.193882
1 63 72.772302
1 64 91.691565
1 65 45.214500
1 66 15.263897
1 67 25.776060
1 68 91.081903
1 69 42.173531
1 70 21.730667
1 71 4.111012
1 72 22.325962
1 73 83.955909
1 74 50.897935
1 75 85.885404
1 76 35.109963
1 77 45.226456
1 78 36.570324
1 79 59.482672
1 80 82.600914
1 81 89.246877
1 82 15.214376
1 83 66.482889
1 84 0.894580
1 85 40.481128
1 86 13.063248
1 87 79.419772
1 88 25.149127
1 89 24.478061
1 90 27.068004
1 91 80.745877
1 92 25.598371
1 93 86.960596
1 94 91.336771
1 95 66.898222
1 96 36.189422
1 97 56.882843
1 98 18.066231
1 99 74.501081
2 0 78.765230
2 1 36.673487
2 3 89.958286
2 4 14.512206
2 5 56.513365
2 6 86.965915
2 7 59.727946
2 8 4.513305
2 9 1.828103
2 10 22.822487
2 11 81.546828
2 12 9.365096
2 13 15.783708
2 14 53.792451
2 15 59.129880
2 16 36.091814
2 17 29.092584
2 18 81.099997
2 19 45.661279
2 20 80.129567
2 21 47.722687
2 22 11.841004
2 23 71.868678
2 24 86.967469
2 25 20.274477
2 26 62.274040
2 27 10.293313
2 28 75.730019
2 29 78.768357
2 30 0.123232
2 31 6.166734
2 32 69.393714
2 33 59.669426
2 34 19.267610
2 35 18.293185
2 36 90.100429
2 37 7.777067
2 38 49.273627
2 39 16.949989
2 40 7.424593
2 41 2.032759
2 42 76.934530
2 43 80.056527
2 44 72.470794
2 45 19.350197
2 46 97.312308
2 47 13.725734
2 48 31.322874
2 49 70.247660
2 50 17.734986
2 51 98.800241
2 52 87.635232
2 53 98.363292
2 54 9.784051
2 55 31.088640
2 56 76.051433
2 57 34.859791
2 58 41.513827
2 59 79.755635
2 60 15.654921
2 61 38.275715
2 62 24.976662
2 63 35.683032
2 64 35.801013
2 65 30.556499
2 66 82.584795
2 67 59.606923
2 68 5.448970
2 69 60.798931
2 70 69.921825
2 71 68.449621
2 72 51.507481
2 73 89.668730
2 74 92.323756
2 75 17.503195
2 76 21.726342
2 77 89.501579
2 78 17.881529
2 79 45.984777
2 80 33.311732
2 81 97.773773
2 82 20.474127
2 83 53.972024
2 84 49.711992
2 85 44.929422
2 86 83.023236
2 87 69.840479
2 88 44.915312
2 89 1.476944
2 90 53.367560
2 91 49.062789
2 92 47.120300
2 93 53.818310
2 94 72.986886
2 95 17.593052
2 96 1.784940
2 97 23.450373
2 98 92.263039
2 99 36.047861
3 0 57.828943
3 1 89.978304
3 2 45.046872
3 4 14.508837
3 5 60.159037
3 6 64.806990
3 7 80.007518
3 8 52.009797
3 9 26.706343
3 10 89.427049
3 11 36.572107
3 12 9.634914
3 13 98.809359
3 14 99.887817
3 15 9.221210
3 16 51.642602
3 17 80.045800
3 18 7.350551
3 19 65.487322
3 20 5.142985
3 21 20.510900
3 22 93.540759
3 23 70.210663
3 24 95.595281
3 25 61.059435
3 26 9.469470
3 27 21.438703
3 28 12.754567
3 29 25.173174
3 30 95.968928
3 31 21.812739
3 32 49.685713
3 33 34.885075
3 34 15.389049
3 35 93.366995
3 36 36.075611
3 37 31.585981
3 38 95.226715
3 39 93.372635
3 40 56.313017
3 41 2.559204
3 42 36.510817
3 43 4.191214
3 44 2.668659
3 45 49.732818
3 46 32.441656
3 47 51.059052
3 48 64.396550
3 49 88.409105
3 50 76.084186
3 51 48.306069
3 52 94.690682
3 53 30.625035
3 54 9.840279
3 55 86.719661
3 56 29.169615
3 57 90.317307
3 58 83.976055
3 59 52.596227
3 60 51.924711
3 61 45.609865
3 62 46.656014
3 63 12.479955
3 64 18.156054
3 65 7.311488
3 66 83.736573
3 67 6.670562
3 68 46.033407
3 69 72.105458
3 70 62.997322
3 71 69.288660
3 72 84.657803
3 73 83.932923
3 74 14.539152
3 75 33.019490
3 76 49.862657
3 77 87.716049
3 78 96.754143
3 79 82.612785
3 80 95.081583
3 81 35.836639
3 82 55.572893
3 83 92.798527
3 84 50.623363
3 85 99.680369
3 86 83.620800
3 87 23.485465
3 88 21.432808
3 89 46.076374
3 90 25.465498
3 91 47.941190
3 92 80.779522
3 93 61.606429
3 94 55.313497
3 95 58.109707
3 96 35.304867
3 97 46.527474
3 98 74.314863
3 99 25.304373
4 0 65.470725
4 1 54.445823
4 2 36.060498
4 3 94.221177
4 5 64.691880
4 6 23.900866
4 7 10.907413
4 8 53.549320
4 9 10.297216
4 10 33.660645
4 11 42.443159
4 12 57.413131
4 13 99.953085
4 14 14.801206
4 15 32.701335
4 16 68.461314
4 17 78.295620
4 18 69.536154
4 19 16.665906
4 20 55.626645
4 21 60.256932
4 22 79.282356
4 23 51.152831
4 24 7.411204
4 25 29.933463
4 26 32.592330
4 27 48.333284
4 28 15.009245
4 29 56.833071
4 30 67.353284
4 31 29.963513
4 32 38.661931
4 33 24.950628
4 34 1.047422
4 35 64.812225
4 36 95.345069
4 37 14.360299
4 38 17.887548
4 39 78.827066
4 40 96.223116
4 41 9.875845
4 42 92.286630
4 43 95.257648
4 44 18.259690
4 45 36.818641
4 46 54.389449
4 47 70.253298
4 48 15.956887
4 49 40.046374
4 50 45.289023
4 51 38.379490
4 52 66.402721
4 53 29.133641
4 54 67.070012
4 55 72.047721
4 56 93.638049
4 57 9.958968
4 58 5.965855
4 59 89.029355
4 60 36.811339
4 61 10.941047
4 62 95.685906
4 63 13.024758
4 64 10.671729
4 65 90.780276
4 66 92.363375
4 67 3.684823
4 68 56.657809
4 69 83.799953
4 70 52.594419
4 71 24.532726
4 72 98.171598
4 73 98.844777
4 74 41.683251
4 75 9.909635
4 76 94.584218
4 77 38.182564
4 78 50.477639
4 79 25.368722
4 80 35.101843
4 81 43.968402
4 82 66.073773
4 83 89.867799
4 84 25.827442
4 85 11.568704
4 86 24.188922
4 87 42.661495
4 88 1.185959
4 89 31.405958
4 90 69.144902
4 91 92.969794
4 92 34.337550
4 93 33.973180
4 94 61.174839
4 95 86.300502
4 96 30.285526
4 97 16.280455
4 98 0.160346
4 99 57.728966
5 0 60.092737
5 1 22.234116
5 2 79.925640
5 3 19.489196
5 4 34.952076
5 6 34.312504
5 7 47.859752
5 8 47.906270
5 9 24.813909
5 10 9.390434
5 11 20.907458
5 12 93.000733
5 13 97.855182
5 14 57.677879
5 15 0.864142
5 16 33.021452
5 17 94.282055
5 18 20.476538
5 19 39.429278
5 20 35.714176
5 21 50.789893
5 22 49.821378
5 23 26.617753
5 24 68.308824
5 25 60.461521
5 26 31.062376
5 27 14.897887
