100 4950
0 1 42.948809
0 2 38.649555
0 3 29.075174
0 4 10.076412
0 5 34.508600
0 6 53.012681
0 7 6.043987
0 8 66.933776
0 9 14.117558
0 10 32.851241
0 11 71.780762
0 12 95.792387
0 13 27.100230
0 14 49.518469
0 15 18.150687
0 16 3.406298
0 17 40.441719
0 18 7.373459
0 19 97.431055
0 20 74.291224
0 21 2.621417
0 22 94.427598
0 23 38.821728
0 24 64.833966
0 25 88.996389
0 26 22.783356
0 27 61.560213
0 28 48.749665
0 29 89.146110
0 30 96.160950
0 31 77.234772
0 32 75.254703
0 33 81.359895
0 34 12.609202
0 35 57.970957
0 36 79.936276
0 37 43.842774
0 38 21.922684
0 39 96.874025
0 40 57.538058
0 41 72.235170
0 42 9.338026
0 43 2.441712
0 44 65.744554
0 45 8.686247
0 46 69.758050
0 47 49.618864
0 48 79.535104
0 49 38.990331
0 50 70.053150
0 51 56.747475
0 52 56.791694
0 53 81.190325
0 54 70.915173
0 55 69.872711
0 56 7.583111
0 57 71.571579
0 58 94.289745
0 59 13.697506
0 60 81.911165
0 61 52.114233
0 62 77.588901
0 63 11.935359
0 64 3.693061
0 65 77.241517
0 66 51.686507
0 67 88.893029
0 68 82.367210
0 69 87.096100
0 70 16.124868
0 71 38.821788
0 72 27.748150
0 73 39.596055
0 74 62.011628
0 75 89.907990
0 76 78.619389
0 77 54.166557
0 78 10.761879
0 79 95.730676
0 80 31.041414
0 81 96.312991
0 82 95.141146
0 83 58.596060
0 84 18.465289
0 85 24.095592
0 86 7.990759
0 87 26.365662
0 88 52.480567
0 89 25.085408
0 90 83.567811
0 91 7.226978
0 92 80.389558
0 93 95.525764
0 94 56.607778
0 95 15.312545
0 96 53.788232
0 97 52.193020
0 98 65.018596
0 99 94.155351
1 2 30.947341
1 3 21.844958
1 4 23.540780
1 5 64.675490
1 6 55.025629
1 7 23.164572
1 8 97.758981
1 9 9.725079
1 10 60.010261
1 11 41.751716
1 12 50.526135
1 13 38.175420
1 14 56.767894
1 15 99.984421
1 16 16.162123
1 17 68.112467
1 18 42.703099
1 19 40.466367
1 20 81.714674
1 21 30.913661
1 22 60.259123
1 23 74.296462
1 24 19.121040
1 25 25.811214
1 26 1.859247
1 27 93.541003
1 28 17.284662
1 29 48.004025
1 30 21.875289
1 31 11.058464
1 32 8.881954
1 33 72.462340
1 34 69.823100
1 35 70.221462
1 36 73.140012
1 37 0.276397
1 38 3.223131
1 39 62.099979
1 40 22.876880
1 41 64.732242
1 42 73.427491
1 43 98.314459
1 44 51.771807
1 45 50.255011
1 46 3.203157
1 47 14.036950
1 48 26.133628
1 49 98.941950
1 50 90.974292
1 51 17.512937
1 52 54.361297
1 53 66.614483
1 54 83.364904
1 55 59.996116
1 56 56.841300
1 57 43.150725
1 58 55.046348
1 59 73.132820
1 60 89.202452
1 61 70.316760
1 62 22.882525
1 63 9.602383
1 64 42.649455
1 65 74.397153
1 66 99.978775
1 67 27.214257
1 68 56.522237
1 69 80.632113
1 70 64.478895
1 71 76.682216
1 72 30.279022
1 73 91.800803
1 74 77.817870
1 75 88.940491
1 76 14.776716
1 77 94.247280
1 78 37.626301
1 79 9.136276
1 80 96.023118
1 81 1.227633
1 82 91.595652
1 83 91.327493
1 84 58.501106
1 85 55.663880
1 86 70.351891
1 87 50.434322
1 88 29.715868
1 89 92.222216
1 90 19.748218
1 91 66.137448
1 92 62.791905
1 93 2.090262
1 94 25.975971
1 95 47.185583
1 96 9.747392
1 97 52.909964
1 98 30.506023
1 99 93.969282
2 3 74.499246
2 4 91.029861
2 5 26.111288
2 6 42.237686
2 7 11.703028
2 8 93.572424
2 9 10.084208
2 10 31.479266
2 11 55.207560
2 12 43.769234
2 13 46.251432
2 14 17.757256
2 15 18.204983
2 16 74.598809
2 17 53.501095
2 18 42.684919
2 19 6.082702
2 20 62.968861
2 21 95.276471
2 22 77.745375
2 23 22.534472
2 24 59.516873
2 25 91.852993
2 26 86.305259
2 27 29.663662
2 28 7.559864
2 29 15.203942
2 30 84.440926
2 31 43.612511
2 32 38.806247
2 33 54.873412
2 34 36.090565
2 35 8.676966
2 36 33.149757
2 37 62.513341
2 38 88.065031
2 39 94.917483
2 40 95.197383
2 41 92.604848
2 42 36.094765
2 43 6.951934
2 44 31.140358
2 45 57.372206
2 46 14.359695
2 47 74.917587
2 48 6.159211
2 49 5.011217
2 50 17.843579
2 51 22.514854
2 52 24.760976
2 53 12.091951
2 54 99.373718
2 55 71.596310
2 56 4.278645
2 57 53.359108
2 58 31.351539
2 59 47.940281
2 60 5.220015
2 61 75.141566
2 62 85.949091
2 63 98.649045
2 64 41.235063
2 65 52.195944
2 66 66.940995
2 67 18.037504
2 68 16.178100
2 69 52.047277
2 70 21.360930
2 71 5.928959
2 72 26.072868
2 73 65.753206
2 74 69.816280
2 75 49.950364
2 76 19.745882
2 77 89.506348
2 78 20.564107
2 79 31.720285
2 80 33.475292
2 81 57.602818
2 82 74.346093
2 83 5.748514
2 84 2.209594
2 85 34.043101
2 86 84.499700
2 87 89.417092
2 88 2.742527
2 89 67.394844
2 90 10.007280
2 91 32.588273
2 92 2.687551
2 93 1.535305
2 94 87.914383
2 95 6.185738
2 96 73.177333
2 97 13.504596
2 98 55.943116
2 99 60.521174
3 4 72.920653
3 5 18.939040
3 6 76.145859
3 7 56.189059
3 8 26.581249
3 9 45.417299
3 10 46.089198
3 11 63.028348
3 12 1.400068
3 13 24.540196
3 14 35.327516
3 15 55.950466
3 16 32.564512
3 17 94.678428
3 18 51.820112
3 19 10.358859
3 20 60.035188
3 21 38.060676
3 22 25.465375
3 23 14.436062
3 24 17.372830
3 25 98.237844
3 26 94.069959
3 27 70.750121
3 28 56.564983
3 29 36.947495
3 30 90.840488
3 31 55.432882
3 32 1.934122
3 33 93.015843
3 34 61.879890
3 35 39.608521
3 36 0.915919
3 37 0.172832
3 38 87.189882
3 39 54.801430
3 40 79.828359
3 41 5.519284
3 42 39.325775
3 43 1.728372
3 44 18.709499
3 45 5.873219
3 46 90.119224
3 47 60.180585
3 48 30.883615
3 49 85.335851
3 50 67.779111
3 51 56.627318
3 52 70.122609
3 53 94.155955
3 54 74.200270
3 55 85.723033
3 56 91.101478
3 57 56.334648
3 58 95.454308
3 59 62.076323
3 60 57.303772
3 61 31.400879
3 62 77.206272
3 63 99.439344
3 64 24.614924
3 65 84.401193
3 66 91.195495
3 67 75.902365
3 68 28.548421
3 69 37.385638
3 70 88.938441
3 71 45.728809
3 72 68.381777
3 73 85.534974
3 74 24.455927
3 75 1.141951
3 76 12.436334
3 77 61.562561
3 78 29.096604
3 79 70.675184
3 80 45.316911
3 81 23.137685
3 82 38.423163
3 83 64.623606
3 84 40.134378
3 85 19.815266
3 86 3.647175
3 87 42.685425
3 88 66.566282
3 89 68.320236
3 90 68.243114
3 91 84.057422
3 92 39.067616
3 93 28.023132
3 94 54.141555
3 95 86.049602
3 96 68.625937
3 97 22.056718
3 98 81.296094
3 99 3.709823
4 5 6.161989
4 6 93.761767
4 7 39.438119
4 8 70.000052
4 9 56.009110
4 10 23.013389
4 11 41.477997
4 12 3.741658
4 13 93.861626
4 14 52.467564
4 15 14.280869
4 16 20.847928
4 17 45.164558
4 18 89.880856
4 19 24.439722
4 20 13.287752
4 21 67.123958
4 22 59.394520
4 23 94.187916
4 24 49.775280
4 25 30.349214
4 26 72.037543
4 27 35.737985
4 28 82.356028
4 29 14.595728
4 30 73.691394
4 31 21.102893
4 32 13.860773
4 33 17.158348
4 34 7.372582
4 35 8.850629
4 36 92.624343
4 37 22.173043
4 38 95.927365
4 39 69.262436
4 40 52.917153
4 41 94.416277
4 42 11.096265
4 43 85.009553
4 44 12.213155
4 45 42.148572
4 46 45.394301
4 47 55.732864
4 48 69.718642
4 49 40.130844
4 50 44.366153
4 51 1.804403
4 52 24.512133
4 53 16.149039
4 54 88.513748
4 55 45.069149
4 56 46.196315
4 57 82.214706
4 58 36.556999
4 59 42.510137
4 60 86.138860
4 61 35.066119
4 62 54.676806
4 63 62.549358
4 64 13.179644
4 65 59.676616
4 66 60.002583
4 67 23.091587
4 68 94.107740
4 69 44.183868
4 70 0.844974
4 71 55.437624
4 72 16.262298
4 73 54.985782
4 74 81.037608
4 75 18.838157
4 76 67.287224
4 77 26.705813
4 78 11.240107
4 79 66.728835
4 80 45.370339
4 81 93.312466
4 82 36.167757
4 83 57.581769
4 84 72.223502
4 85 23.884819
4 86 43.451619
4 87 10.828133
4 88 20.610932
4 89 29.347910
4 90 7.196058
4 91 31.451174
4 92 48.408772
4 93 74.958874
4 94 57.289032
4 95 65.618325
4 96 51.979707
4 97 67.406748
4 98 94.133667
4 99 4.115792
5 6 13.072215
5 7 85.095894
5 8 87.708032
5 9 20.368407
5 10 15.504873
5 11 85.515004
5 12 9.723206
5 13 15.472152
5 14 50.571797
5 15 54.550705
5 16 48.138114
5 17 43.936228
5 18 13.406244
5 19 59.186815
5 20 44.402769
5 21 10.726100
5 22 16.465022
5 23 27.237286
5 24 75.539984
5 25 62.718503
5 26 10.847261
5 27 5.592996
5 28 75.538732
5 29 45.823872
5 30 11.336785
5 31 41.919441
5 32 53.520799
5 33 62.801247
5 34 66.858180
5 35 93.824584
5 36 19.755475
5 37 46.185186
5 38 4.462401
5 39 94.222985
5 40 74.835428
5 41 55.763788
5 42 2.008507
5 43 91.954471
5 44 52.190175
5 45 20.691442
5 46 12.383991
5 47 42.672607
5 48 29.601777
5 49 72.589450
5 50 70.406832
5 51 46.600249
5 52 41.500750
5 53 57.882189
5 54 62.478301
5 55 16.956499
5 56 30.558399
5 57 75.136068
5 58 28.606192
